ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
1,NGC1,NGC1,,,,18,,Gxy,Gxy,Sb,·ÉÂí×ù,PEG,0h7m15.9s,0.121083333,+27h42m32s,27.70888889,12.9,13.7,0.8,13.5,1.7,1.2,120,"faint, small, round, between 11th and 14th magnitude stars","F, S, R, bet * 11 and * 14"
2,NGC2,NGC2,,,,18,,Gxy,Gxy,Sab,·ÉÂí×ù,PEG,0h7m17.1s,0.121416667,+27h40m43s,27.67861111,14.2,15,0.8,13.6,1,0.6,112,"very faint, small, south of GC 1","vF, S, s of G.C. 1"
3,NGC3,NGC3,,,,18,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,0h7m16.8s,0.121333333,+8h18m5s,8.301388889,13.3,14.2,0.9,12.8,1.1,0.6,111,"faint, very small, round, almost stellar","F, vS, R, alm stell"
4,NGC4,NGC4,,,,18,,Gxy,Gxy,S0,Ë«Óã×ù,PSC,0h7m24.5s,0.123472222,+8h22m26s,8.373888889,15.8,16.9,1,13.8,0.6,0.3,35,extremely faint,eF
5,NGC5,NGC5,,,,19,,Gxy,Gxy,E4,ÏÉÅ®×ù,AND,0h7m48.8s,0.130222222,+35h21m46s,35.36277778,13.3,14.3,1,13.1,1.2,0.7,115,"faint, small, round, between 11th and 14th magnitude stars","vF, vS, N = * 13, 14"
6,NGC6,NGC6,,,,19,,Gxy,Dup,E-S0,ÏÉÅ®×ù,AND,0h9m32.6s,0.159055556,+33h18m32s,33.30888889,13.1,14.1,1,14.3,1.7,1.6,140,"extremely faint, very small, considerably extended","eF, vS, cE"
7,NGC7,NGC7,,,,16,,Gxy,Gxy,SBc,Óñ·ò×ù,SCL,0h8m20.7s,0.139083333,-29h54m59s,-29.91638889,13.9,14.4,0.5,14,2.2,0.5,29,"extremely faint, considerably large, much extended, very gradually very little brighter middle","eF, cL, mE, vgvlbM"
8,NGC8,NGC8,,,,18,,Star(s),Star(s),*2,·ÉÂí×ù,PEG,0h8m45.3s,0.145916667,+23h50m19s,23.83861111,99,99,99,99,,,,"very faint, nucleus in north end","vF, N in n end"
9,NGC9,NGC9,,,,18,,Gxy,Gxy,Sb/P,·ÉÂí×ù,PEG,0h8m54.5s,0.148472222,+23h49m4s,23.81777778,13.5,14.3,0.8,12.6,1.1,0.7,155,"faint, round, 9th or 10th magnitude star to southeast","F, R, * 9, 10 sf"
10,NGC10,NGC10,,,,16,,Gxy,Gxy,SBbc,Óñ·ò×ù,SCL,0h8m34.3s,0.142861111,-33h51m28s,-33.85777778,12.5,13.3,0.8,13.5,2.4,1.2,26,"faint, considerably large, very little extended, gradually a little brighter middle","F, cL, vlE, glbM"
