Sun	太阳
Mercury	水星
Venus	金星
Earth	地球
Mars	火星
Jupiter	木星
Saturn	土星
Uranus	天王星
Neptune	海王星
Moon	月球
Deimos	火卫二
Phobos	火卫一
Io	木卫一
Europa	木卫二
Ganymede	木卫三
Callisto	木卫四
Amalthea	木卫五
Himalia	木卫六
Elara	木卫七
Pasiphae	木卫八
Sinope	木卫九
Lysithea	木卫十
Carme	木卫十一
Ananke	木卫十二
Leda	木卫十三
Thebe	木卫十四
Adrastea	木卫十五
Metis	木卫十六
Mimas	土卫一
Enceladus	土卫二
Tethys	土卫三
Dione	土卫四
Rhea	土卫五
Titan	土卫六
Hyperion	土卫七
Iapetus	土卫八
Phoebe	土卫九
Janus	土卫十
Epimetheus	土卫十一
Helene	土卫十二
Telesto	土卫十三
Calypso	土卫十四
Atlas	土卫十五
Prometheus	土卫十六
Pandora	土卫十七
Pan	土卫十八
Ariel	天卫一
Umbriel	天卫二
Titania	天卫三
Oberon	天卫四
Miranda	天卫五
Cordelia	天卫六
Ophelia	天卫七
Bianca	天卫八
Cressida	天卫九
Desdemona	天卫十
Juliet	天卫十一
Puck	天卫十五
Triton	海卫一
Nereid	海卫二
Naiad	海卫三
Thalassa	海卫四
Despina	海卫五
Galatea	海卫六
Larissa	海卫七
Proteus	海卫八
Halimede	海卫九
Psamathe	海卫十
Sao	海卫十一
Laomedeia	海卫十二
Neso	海卫十三
Charon	冥卫一
Nix	冥卫二
Hydra	冥卫三
Kerberos	冥卫四
Styx	冥卫五
Solar System Observer	太阳系全览点
Earth Observer	地球全览点
Mars Observer	火星全览点
Jupiter Observer	木星全览点
Saturn Observer	土星全览点
Uranus Observer	天王星全览点
Neptune Observer	海王星全览点
SpaceShip	宇宙飞船
Ceres	谷神星
Pallas	智神星
Juno	婚神星
Vesta	灶神星
Metis	颖神星
Europa	欧女星
Pandora	祸神星
Galatea	巫女星
Dione	坤神星
Ophelia	欧菲丽亚星
Bianca	歌女星
Titania	提泰妮娅星
Desdemona	黛斯迪蒙娜星
Larissa	拉丽莎星
Prometheus	普罗米修斯星
Epimetheus	厄庇墨透斯星
Cordelia	科迪莉亚星
Pan	潘星
Varuna	伐楼那星
Huya	雨神星
Quaoar	创神星
Sedna	赛德娜星
Orcus	亡神星
Salacia	潫神星
Pluto	冥王星
Haumea	妊神星
Eris	阋神星
Makemake	鸟神星
Varda	熹神星
Astraea	义神星
Hebe	韶神星
Iris	虹神星
Flora	花神星
Hygiea	健神星
Parthenope	海妖星
Egeria	芙女星
Eunomia	司法星
Psyche	灵神星
Melpomene	司曲星
Fortuna	命神星
Massalia	王后星
Lutetia	司琴星
Amphitrite	海后星
Euphrosyne	丽神星
Daphne	桂神星
Eugenia	香女星
Doris	昏神星
Cybele	原神星
Sylvia	林神星
Thisbe	尽女星
Antiope	休神星
Undina	波女星
Aurora	彩神星
Camilla	驶神星
Nausikaa	瑙女星
Kleopatra	艳后星
Ida	艾女星
Mathilde	玛蒂尔德星
Thule	图勒星
Glauke	渌神星
Brucia	布鲁西亚星
Bamberga	斑贝格星
Ursula	厄苏拉星
Diotima	狄奥提玛星
Eros	爱神星
Patientia	忍神星
Veritas	威耳塔斯星
Davida	黛维达星
Herculina	大力神星
Achilles	艾基利斯
Hektor	赫克托星
Interamnia	英特拉美尼亚星
Albert	艾伯特星
Lipperta	里佩尔塔星
Ara	阿拉星
Maritima	玛丽蒂玛星
Hidalgo	伊达尔戈星
Gaspra	加斯普拉星
Ganymed	甘尼梅德星
China	中华星
Amor	阿莫尔星
Schorria	斯古瑞亚星
Cincinnati	辛辛那提星
Icarus	伊卡洛斯星
Betulia	拜突利亚星
Geographos	地理星
Toro	托罗星
Antinous	安提诺乌斯星
Daedalus	代达罗斯星
Cerberus	 塞伯拉斯星
Sisyphus	西绪福斯星
Shaposhnikov	沙波什尼科夫星
Midas	迈达斯星
Chiron	喀戎星
Aten	 阿登星
Bacchus	酒神星
Ra-Shalom	拉-舍拉姆星
Adonis	阿多尼斯星
Tantalus	坦塔罗斯星
Aristaeus	阿里斯泰俄斯星
Oljato	奥加托星
Hephaistos	赫菲斯托斯星
Orthos	奥尔索斯星
Hathor	哈索尔星
Tolkien	托尔金星
Steins	斯坦斯星
Hopi	霍皮星
Eger	伊格尔星
Phaethon	法厄同星
Syrinx	绪任克斯星
Orpheus	俄耳甫斯星
Khufu	胡夫星
Amun	阿蒙星
Dionysus	庆神星
Camillo	卡米罗星
Cruithne	克鲁特尼星
Epona	伊波那星
Wilson-Harrington	威尔逊-哈灵顿星
Vishnu	毗瑟挐星
Toutatis	图塔蒂斯星
Cuno	库诺星
Morpheus	梦神星
Ubasti	乌巴斯蒂星
Poseidon	海神星
Mithra	密特拉星
Barklajdetolli	巴卡拉加托里星
Xanthus	克珊托斯星
Asclepius	医神星
Nereus	涅柔斯星
Castalia	加斯塔利亚星
Ptah	普塔星
Heracles	赫拉克勒斯星
Eureka	尤里卡星
Sekhmet	狮女星
Annefrank	安妮·弗兰克星
Zeus	宙斯星
Talos	塔罗斯星
Jason	詹森星
Minos	米诺斯星
Cadmus	卡德摩斯星
Kwiila	奎拉星
Braille	布莱尔星
Izhdubar	伊祖杜巴星
Sigurd	齐格鲁德星
Peleus	珀琉斯星
Tomaiyowit	托麦约威特星
Summanus	苏玛努斯星
Tukmit	图克米特星
Zephyr	泽菲尔星
Hypnos	睡神星
Ahau	阿华星
Itokawa	糸川星
Illapa	伊拉帕星
Beowulf	贝奥武夫星
Didymos	狄律摩斯星
Hermes	赫耳墨斯星
Mjolnir	姆吉尼尔星
Apophis	毀神星
Selqet	蝎女星
Tjelvar	炬神星
Ryugu	龙宫星
Atira	阿迪娜星
Nut	穹神星
Akhenaten	阿肯那顿星
Duende	恶魔星
Otrera	奥特瑞拉星
Great Comet of 1680 (C/1680 V1)	1680年大彗星(C/1680 V1)
Tycho's Supernova	第谷超新星
Kepler's Supernova	开普勒超新星
Cassiopeia A	仙后座A
S Andromedae	仙女座S
Nova	新星
Crab Pulsar	蟹云脉冲星
Geminga Pulsar	杰敏卡脉冲星
Monogem Pulsar	摩诺根脉冲星
Vela Pulsar	船帆脉冲星
Lich	巫妖 Lich
Calvera	卡尔维拉X射线源
Cir Pulsar	圆规脉冲星
Tasmanian Devil Nebula	塔斯马尼亚魔鬼星云
Hulse-Taylor Pulsar	赫尔斯-泰勒脉冲星
Black Widow	毒蜘蛛脉冲星
Dragonfly Nebula	蜻蜓星云
Guitar Nebula	吉他星云
LGM-1	LGM-1脉冲星
Veritate	螣蛇增九 Veritate
Spe	希望 Spe
Musica	司非增二 Musica
Arion	阿里翁 Arion
Fafnir	扶筐增二 Fafnir
Orbitar	轨道 Orbitar
Chalawan	天牢三 Chalawan
Taphao Thong	鳄鱼王姊 Taphao Thong
Taphao Kaew	鳄鱼王妹 Taphao Kaew
Helvetios	室宿增一 Helvetios
Dimidium	半 Dimidium
Copernicus	轩辕增十九 Copernicus
Galileo	伽利略 Galileo
Brahe	第谷·布拉赫 Brahe
Lipperhey	李普希 Lipperhey
Janssen	詹森 Janssen
Harriot	哈里奧特 Harriot
Amateru	阿玛特鲁 Amateru
Hypatia	希帕提娅 Hypatia
Ran	天苑四 Ran
AEgir	埃吉尔 AEgir
Tadmor	塔德穆尔 Tadmor
Dagon	大衮 Dagon
Tonatiuh	托纳季乌 Ogma
Meztli	麦西莉 Meztli
Ogma	奥马 Ogma
Smertrios	史墨西奧 Smertrios
Intercrus	上台增七 Intercrus
Arkas	阿卡斯 Arkas
Cervantes	塞万提斯 Cervantes
Quijote	堂吉诃德 Quijote
Dulcinea	杜尔西内娅 Dulcinea
Rocinante	驽骍难得 Rocinante
Sancho	桑丘 Sancho
Thestias	忒斯提娅斯 Thestias
Draugr	尸鬼 Draugr
Poltergeist	喧闹鬼 Poltergeist
Phobetor	福柏托尔 Phobetor
