A6670,钻戒星云
A6679,宇宙六号星云
ACO1060,长蛇座1
ACO1060,长蛇座星系团
ACO1367,狮子座星系团
ACO1377,大熊座1星系群
ACO151,哈芬A星系群
ACO1656,后发座星系团
ACO1930,牧夫座星系团
ACO194,鲸鱼座星系团
ACO2065,北冕座星系团
ACO2151,武仙座星系团
ACO2744,潘多拉星系团
ACO3526,半人马座星系团
ACO3558,夏普利8星系团
ACO3627,巨引源
ACO3627,矩尺座星系团
ACO426,英仙座星系团
ACO520,火车残骸星系团
ACO780,长蛇座A
ACOS373,天炉座星系团
ACOS636,唧筒座星系团
ACOS737,NGC1399星系群
ACOS737,天炉座星系群
ARP133,闵可夫斯基天体
B142,E星云
B142,三穴星云
B142,巴纳德E星云
B142,巴纳德的E星云
B143,E星云
B143,三穴星云
B143,巴纳德E星云
B143,巴纳德的E星云
B144,鱼碟暗星云
B168,茧星云
B22,金牛座暗星云
B228,黑狼星云
B33,马头星云
B59,烟斗星云(杆)
B65,烟斗星云(杆)
B66,烟斗星云(杆)
B67,烟斗星云(杆)
B67,管星云
B68,墨汁星云
B72,S星云
B72,蛇星云
B78,烟斗星云(斗)
B78,管星云
B86,墨汁星云
B87,鹦鹉头星云
B92,黑洞星云
C41,毕星团
C99,煤袋星云
CED19O,昴宿七星云
CED211,宝瓶座R星云
CED32C,伯纳姆星云
CED32C,金牛座T星云
CED55R,猎户座环状星云
CR135,弧矢九星团
CR140,狗尾星团
CR205,马卡良18星团
CR233,海山二星团
CR285,大熊座星团
CR302,心宿二星团
CR399,布洛契星团
CR399,苏菲星云
CR399,苏菲星团
CR399,蜗牛星团
CR399,衣架星团
CR463,女王镜像
CR463,水怪星团
CR69,猎户座星团
CR69,玛格丽特之镜星团
CR69,觜宿一星团
CR70,猎户座腰带星团
CR70,蛇形柱星团
DWB111,螺旋桨星云
DWB26,玫瑰星云
DWB50,旋镖星云
DWB63,天津一星云
DWB64,倒马蹄星云
ESO118-31,网罟座星团
ESO118-31,网罟座矮星系
ESO118-31,赛尔斯克星团
ESO120-8,E2星团
ESO129-25,帕多瓦2
ESO138-29,神圣蘑菇星系
ESO210-6A,博科情人星云
ESO210-6A,博科的情人星云
ESO252-18A,绘架座A
ESO277-12,天坛座星团
ESO333-16,托南钦特拉2球状星团
ESO37-1,E3星团
ESO57-76,霍奇11
ESO600-11,摩羯座矮星系
ESO86-9,霍奇4
IC10,星爆星系
IC1318,天津一星云
IC1365,ZW II 108星系群
IC1396,象鼻星云
IC1396,雾中三叶草星团
IC1795,鱼头星云
IC1805,AFGL 333星云
IC1805,奔狗星云
IC1805,心脏星云
IC1805,情人星云
IC2118,女巫头星云
IC2199,IC 2199 星系群
IC2220,托比壶星云
IC2220,蝴蝶星云
IC2391,船帆座ο星团
IC2431,布朗宁星系
IC2488,珍珠串星团
IC2488,长裙星团
IC2574,柯丁顿星云
IC2602,南天七姐妹星团
IC2602,南船三星团
IC2714,利普-托恩星团
IC2944,奔鸡星云
IC2948,海山五星云
IC2948,萨克雷球
IC2948,萨克雷的球
IC342,马费伊1星系群
IC348,卷舌五星云
IC348,金里奇1
IC349,巴纳德昴宿五星云
IC3568,柠檬切片星云
IC3568,柠檬片星云
IC3568,爱斯基摩婴儿星云
IC3568,理论家星云
IC405,火焰之星星云
IC405,舍贝勒火焰之星
IC405,舍贝勒的火焰之星
IC410,小蝌蚪星云
IC417,蜘蛛星云
IC418,万花尺星云
IC418,彩色隐形眼镜星云
IC418,覆盆子星云
IC4321,贝壳星系
IC4406,视网膜星云
IC443,双子座A
IC443,水母星云
IC4592,蓝马头星云
IC4593,白眼豌豆星云
IC4604,心宿增四星云
IC4606,心宿二反射星云
IC4628,斑节虾星云
IC4665,夏季蜂巢星团
IC4665,海神三叉戟星团
IC4665,黑燕尾蝶星团
IC4756,双胞胎星团
IC4756,格拉夫星团
IC4756,秘密花园星团
IC4946,夏普利-艾姆斯5
IC4996,天鹅座P星团
IC5067,鹈鹕星云
IC5070,鹈鹕星云
IC5146,茧星云
IC5148,备胎星云
IC5173,南积分号星系
IC59,策星云
IC63,策星云
IC708,蝴蝶犬星系
IRAS09371+1212,霜狮星云
IRAS18059-3211,戈麦斯汉堡
IRAS19343+2926,脚印星云
LBN531,洞穴星云
LBN777,幼鹰星云
LBN777,秃头星云
LBN953,猎户座B
LDN1235,黑鲨星云
LDN1382,帕兹米诺星团
LDN1613,圆锥星云
LDN810,煤矿工星云
LDN906,北煤袋星云
LDN935,墨西哥湾星云
M24,人马座恒星云
M24,散点星云
M40,温内克4
M45,七姐妹星团
M45,昴宿星团
M45,昴星团
M8,沙漏区
M8,礁湖星云
MEL111,后发座星团
MEL111,蜘蛛网星团
MEL111,阿里阿德涅之发
MEL111,面纱星团
MEL111,飞女巫星团
MEL111,黑巴特之发
MEL186,波尼亚托夫斯基公牛星团
MEL186,波尼亚托夫斯基的公牛星团
MEL186,波尼亚托夫斯基的金牛座星团
MEL186,波尼亚托夫斯基金牛座星团
MEL20,天船三星协
MEL20,天船三星团
MEL20,天船三移动星团
MEL20,海盗小云星团
MEL20,海盗的小云星团
MEL71,威尔克星团
Minkowski92,闵可夫斯基的足迹
Minkowski92,闵可夫斯基足迹
NGC1023,仙人掌星系
NGC1039,螺旋星团
NGC104,杜鹃座47球状星团
NGC1049,天炉座3
NGC1049,天炉座C3
NGC1049,天炉座H3
NGC1049,天炉座矮星系
NGC1049,天炉座矮星系球状星团3
NGC1068,鲸鱼座A
NGC1232,上帝之眼星系
NGC1245,帕特里克海星星团
NGC1269,雪领星系
NGC1275,英仙座A
NGC128,NGC 128星系群
NGC1316,天炉座A
NGC1317,天炉座B
NGC1333,幻影头饰星云
NGC1333,胚胎星云
NGC134,大王乌贼星系
NGC1342,小蝎星团
NGC1342,棘角鱼星团
NGC1342,黄貂鱼星团
NGC1350,宇宙大眼睛星系
NGC1360,彗星行星状星云
NGC1360,知更鸟蛋星云
NGC1365,大棒旋星系
NGC1407,波江座A星系群
NGC1432,昴宿四星云
NGC1435,坦普尔星云
NGC1435,昴宿五星云
NGC1491,化石足迹星云
NGC1499,加利福尼亚星云
NGC1499,龙星云
NGC1501,牡蛎星云
NGC1501,蓝牡蛎星云
NGC1501,骆驼之眼星云
NGC1502,海盗旗星团
NGC1502,金竖琴星团
NGC1514,三色堇星云
NGC1514,水晶球星云
NGC1528,M&M双星团
NGC1535,埃及艳后之眼星云
NGC1535,天水母星云
NGC1535,海王星之魂星云
NGC1535,爱斯基摩之妻星云
NGC1545,M&M双星团
NGC1545,奔跑人星团
NGC1545,魔术五角星团
NGC1554,斯特鲁维星云
NGC1554,斯特鲁维遗失星云
NGC1554,欣德变光星云
NGC1555,欣德变光星云
NGC1555,欣德星云
NGC1579,北三裂星云
NGC1595,雕具座星系群
NGC1598,雕具座星系群
NGC1647,海盗之月星团
NGC1664,4-H 星团
NGC1788,宇宙蝙蝠星云
NGC1788,狐狸脸星云
NGC1807,贫双星团
NGC1817,贫双星团
NGC188,近极星团
NGC1893,字母Y星团
NGC1910,剑鱼座S星团
NGC1912,字母π星团
NGC1912,海星星团
NGC1922,海星星团
NGC1931,苍蝇星云
NGC1952,蟹状星云
NGC1952,金牛座A
NGC1960,风车星团
NGC1973,美人鱼的钱包星云
NGC1973,美人鱼钱包星云
NGC1973,跑步者星云
NGC1975,跑步者星云
NGC1976,猎户座A
NGC1976,猎户座大星云
NGC1976,猎户座星云
NGC1977,美人鱼的钱包
NGC1977,美人鱼钱包
NGC1977,跑步者星云
NGC1980,猎户座下半剑
NGC1980,猎户座遗失宝石
NGC1981,煤车星团
NGC1981,猎户座上半剑
NGC1982,梅朗星云
NGC1982,迪马伦星云
NGC1990,参宿二星云
NGC1999,橡皮戳星云
NGC1999,第13珍珠星云
NGC1999,黑眼星云
NGC2022,吻月星云
NGC2022,猎户的锁骨星云
NGC2022,猎户锁骨星云
NGC2024,参宿一之魂
NGC2024,唇星云
NGC2024,坦克履带星云
NGC2024,枫叶星云
NGC2024,火树星云
NGC2024,火焰星云
NGC206,仙女座星系中大恒星云
NGC206,仙女座星系中的大恒星云
NGC2060,剑鱼座30 B
NGC2068,鬼马小精灵星云 
NGC2070,剑鱼座30星云
NGC2070,剑鱼座30星团
NGC2070,同心结星云
NGC2070,大环星云
NGC2070,狼蛛星云
NGC2080,鬼头星云
NGC2099,一月椒盐星团
NGC2099,御夫座椒盐星团
NGC2146,脏手星系
NGC2168,鞋扣星团
NGC2169,37星团
NGC2169,LE星团
NGC2169,小七姐妹星团
NGC2169,购物车星团
NGC2170,麒麟座R2 IRS3
NGC2174,猴头星云
NGC2194,漫游者星团
NGC2232,双锥状星团
NGC2237,NGC 2244的卫星星团
NGC2237,玫瑰A
NGC2237,玫瑰星云
NGC2238,玫瑰星云
NGC224,仙女座大星云
NGC224,仙女座星云
NGC224,仙女座星系
NGC2244,玫瑰星云
NGC2244,竖琴星团
NGC2246,玫瑰B
NGC2246,玫瑰星云
NGC225,帆船星团
NGC225,碎心星团
NGC2261,哈勃变光星云
NGC2261,哈勃星云
NGC2264,圆锥星云
NGC2264,圣诞树星团
NGC2264,狐皮星云
NGC2281,碎心星团
NGC2287,小蜂巢星团
NGC2301,大鸟星团
NGC2301,海格的龙星团
NGC2301,海格龙星团
NGC2301,科普兰的金蠕虫
NGC2301,科普兰金蠕虫
NGC2323,心状星团
NGC2323,线圈星团
NGC2343,箭头星团
NGC2346,沙漏行星状星云
NGC2346,红蝴蝶星云
NGC2346,蝴蝶星云
NGC2353,艾弗里岛星团
NGC2359,雷神头盔
NGC2359,雷神的头盔
NGC2359,飞眼星云
NGC2359,鸭头星云
NGC2359,鸭星云
NGC2360,卡罗琳星团
NGC2362,墨西哥跳跃星
NGC2362,弧矢增六星团
NGC2362,海盗宝石星团
NGC2367,查理·布朗圣诞树
NGC2367,查理·布朗的圣诞树
NGC2371,双子座星云
NGC2371,双泡星云
NGC2371,花生星云
NGC2371,蚂蚁星云
NGC2392,丑脸星云
NGC2392,爱斯基摩星云
NGC2409,菲尔瑟213
NGC2419,星际漫游者
NGC2419,漫游者星团
NGC2420,彗闪星团
NGC2439,宽箭头星团
NGC2440,吻星云
NGC2440,樱唇星云
NGC2440,烈火星云
NGC2440,白蝴蝶星云
NGC2440,蝙蝠星云
NGC2442,肉钩星系
NGC2447,蝴蝶星团
NGC2451,刺蝎星团
NGC246,头骨星云
NGC246,巫毒面具星云
NGC246,肥皂泡星云
NGC2467,链式胸针星云
NGC2467,骷髅头星云
NGC247,伯比奇链
NGC2477,电吉他星团
NGC2477,白蚁洞星团
NGC2516,南蜂巢星团
NGC2516,短跑人星团
NGC2516,钻石星团
NGC253,玉夫座星系
NGC253,银元星系
NGC253,银币星系
NGC2537,熊掌星云
NGC2537,熊掌星系
NGC2539,盘状星团
NGC2546,伤心星团
NGC2546,心与匕首星团
NGC2547,圣彼得十字星团
NGC2547,金耳环星团
NGC2548,蜂巢星团
NGC2557,马吕斯星系团
NGC2573,南极星系
NGC262,马卡良348
NGC2632,蜂巢星团
NGC2632,马槽星团
NGC2632,鬼星团
NGC2682,吃豆人星团
NGC2682,眼镜王蛇星团
NGC2682,金眼星团
NGC2683,UFO星系
NGC2685,煎饼星系
NGC2685,螺旋星系
NGC2686,纺锤星系
NGC2736,赫歇尔的线条星云
NGC2736,赫歇尔线条星云
NGC2736,铅笔星云
